15 7 27 21 5 
5 12 10 
1 6 27 
21 22 27 
20 22 27 29 15 1 4 23 6 18 
27 22 20 
10 18 14 
29 21 27 6 7 
5 26 10 
22 20 29 
15 4 7 
29 6 21 22 20 
21 10 15 
21 27 22 20 
3 20 21 24 
4 2 16 
6 21 22 3 28 
20 21 3 
3 20 22 
3 29 21 
29 22 20 21 5 15 
20 22 1 
5 21 27 20 22 29 6 
20 21 22 
3 20 22 27 6 29 21 
5 4 29 6 27 20 
28 21 27 22 20 26 
20 22 27 5 
21 28 23 10 
27 21 20 
2 16 13 
6 27 21 29 
21 27 22 3 
23 14 18 
22 21 20 
21 20 3 22 27 
21 29 20 
6 27 22 20 3 4 7 15 
29 1 7 15 22 
12 23 15 
6 15 29 
6 15 7 
29 6 23 15 
29 15 4 1 6 
5 15 10 4 7 
27 21 15 29 6 
3 20 21 5 
21 20 5 15 
6 21 15 
21 27 22 
22 21 15 
10 23 15 6 
5 10 20 27 
21 15 7 
27 20 22 
13 2 16 
24 21 22 20 
20 22 27 
6 15 10 
6 29 7 
2 13 16 
27 4 15 
22 27 6 23 
1 29 4 
21 22 20 
24 28 7 
27 20 29 
20 22 27 
10 28 5 21 27 6 29 1 14 
15 21 28 
10 28 12 29 2 22 6 20 
21 27 20 
27 22 20 
22 29 21 27 3 
